aircraft_type,nseats
223,150
340,320
350,300
737,140
747,450
767,250
777,360
781,370
787,310
32N,195
32Q,196
73F,140
73K,170
73N,180
73S,130
74F,400
74N,380
75T,280
7CB,300
A124,6
A139,15
A140,30
A148,80
A20N,180
A21N,200
A302,266
A306,266
A30B,266
A310,240
A318,120
A319,140
A320,160
A321,200
A330,295
A332,280
A333,330
A339,320
A343,320
A345,320
A346,380
A359,300
A35K,350
A388,550
A748,50
AA5,4
AEST,6
AJ27,100
AN24,50
AS50,6
AS55,6
ASTR,11
AT42,50
AT43,50
AT44,50
AT45,50
AT46,50
AT72,75
AT73,75
AT75,75
AT76,75
AWH,15
B06,5
B190,19
B350,8
B38M,180
B407,7
B412,13
B430,8
B461,94
B462,110
B463,100
B712,117
B721,149
B722,185
B732,130
B733,150
B734,165
B735,130
B736,130
B737,140
B738,180
B739,200
B741,450
B742,450
B743,490
B744,520
B747,450
B748,450
B74S,330
B752,200
B753,280
B757,200
B762,250
B763,280
B764,260
B767,250
B772,360
B773,400
B777,360
B77F,360
B77L,360
B77W,400
B787,310
B788,310
B789,350
B78X,370
BCS1,130
BCS3,150
BE10,13
BE18,9
BE19,4
BE20,13
BE30,10
BE35,6
BE36,6
BE40,9
BE55,6
BE56,6
BE58,6
BE95,4
BE99,15
BE9L,7
BK17,10
BLCF,4
BN2,9
BN2B,9
BN2P,9
BN2T,9
BN3,18
BRAV,2
C10T,6
C130,5
C150,2
C152,2
C172,4
C180,6
C182,4
C185,6
C206,6
C207,8
C208,9
C210,6
C212,26
C25A,9
C25B,9
C25C,9
C310,5
C337,6
C340,6
C402,9
C404,10
C414,8
C421,8
C425,8
C441,10
C500,7
C501,7
C510,5
C525,9
C550,8
C560,8
C56X,10
C650,11
C680,12
C68A,9
C750,12
C82S,4
CH7A,2
CL30,16
CL35,16
CL60,19
CL65,50
CM8,90
CNA,9
CNF,9
COL4,4
CR5,75
CRJ,50
CRJ1,50
CRJ2,50
CRJ7,75
CRJ9,90
CRJX,100
CRK,100
CSB,130
CVLP,40
CVLT,40
D228,19
D328,33
DA40,4
DA42,4
DA62,7
DC10,300
DC3,32
DC3T,32
DH8,39
DH8A,39
DH8B,39
DH8C,56
DH8D,78
DHC3,11
DHC4,3
DHC6,20
DHC7,54
DHC8,50
DHF,50
DV20,2
E110,18
E120,30
E135,37
E145,50
E170,80
E174,80
E175,85
E190,110
E195,120
E290,110
E295,120
E35L,13
E45X,50
E550,14
E55P,6
E75,88
E75L,88
E75S,88
EC30,6
F100,107
F15,1
F18S,1
F2TH,15
F406,12
F50,58
F70,79
F900,19
FA20,14
FA50,9
FA7X,14
FA8X,19
G150,6
G280,10
GA6C,19
GA8,7
GALX,18
GL5T,19
GLEX,19
GLF2,19
GLF4,19
GLF5,19
GLF6,18
H25B,13
HA4T,8
HDJT,6
HEL,10
IL76,7
IL96,300
J328,34
JET,19
JS31,19
JS32,19
JS3A,20
JS41,30
K35R,3
L410,21
L8,2
LJ31,8
LJ35,8
LJ40,7
LJ45,9
LJ55,10
LJ60,10
LJ75,11
M20P,4
M20T,4
M600,6
MA6,60
MD11,330
MD82,172
MD83,172
MD88,172
MD90,172
MU2,12
NH90,20
P180,9
P210,6
P212,10
P28A,4
P28B,4
P28U,4
P46T,6
P68,6
PA18,2
PA23,6
PA27,6
PA28,4
PA30,4
PA31,8
PA32,6
PA34,6
PA44,4
PA46,6
PAY4,8
PC12,10
PC24,10
PRM1,8
RJ1H,100
RJ8,90
RJ85,110
RJW,100
RV10,4
RV6,2
RV8,2
S22T,4
S76,12
SA34,5
SB20,58
SF34,37
SH36,36
SR20,4
SR22,4
SU1,100
SU9,100
SU95,100
SW2,11
SW3,11
SW4,21
SW4A,21
SW4B,21
SW4C,21
T12,1
T154,150
T206,6
T6,2
TBM7,6
TBM8,6
TBM9,6
TEX,2
TEX2,2
V10,2
ZZZZ,0